# frame_skip_agent_A, frame_skip_agent_B, episode, score_A, score_B, reward
6,1,0,7,7,0
6,1,1,8,2,6
6,1,2,4,9,-5
6,1,3,10,12,-2
6,1,4,11,14,-3
6,1,5,7,9,-2
6,1,6,13,16,-3
6,1,7,4,4,0
6,1,8,11,10,1
6,1,9,7,9,-2
6,1,10,6,5,1
6,1,11,12,17,-5
6,1,12,25,25,0
6,1,13,15,34,-19
6,1,14,2,11,-9
6,1,15,4,4,0
6,1,16,13,18,-5
6,1,17,9,20,-11
6,1,18,7,7,0
6,1,19,14,16,-2
6,1,20,14,15,-1
6,1,21,3,5,-2
6,1,22,18,5,13
6,1,23,12,21,-9
6,1,24,6,9,-3
6,1,25,4,12,-8
6,1,26,8,18,-10
6,1,27,12,13,-1
6,1,28,10,19,-9
6,1,29,9,20,-11
6,1,30,11,13,-2
6,1,31,7,9,-2
6,1,32,6,5,1
6,1,33,6,12,-6
6,1,34,6,6,0
6,1,35,6,9,-3
6,1,36,4,2,2
6,1,37,12,19,-7
6,1,38,4,5,-1
6,1,39,9,12,-3
6,1,40,22,17,5
6,1,41,8,18,-10
6,1,42,9,20,-11
6,1,43,16,15,1
6,1,44,9,13,-4
6,1,45,8,11,-3
6,1,46,19,14,5
6,1,47,10,12,-2
6,1,48,10,5,5
6,1,49,11,16,-5
6,1,50,16,4,12
6,1,51,9,17,-8
6,1,52,1,16,-15
6,1,53,7,12,-5
6,1,54,3,6,-3
6,1,55,10,11,-1
6,1,56,15,12,3
6,1,57,5,7,-2
6,1,58,7,14,-7
6,1,59,3,9,-6
6,1,60,9,10,-1
6,1,61,9,10,-1
6,1,62,8,10,-2
6,1,63,5,11,-6
6,1,64,6,11,-5
6,1,65,1,2,-1
6,1,66,7,17,-10
6,1,67,12,15,-3
6,1,68,12,17,-5
6,1,69,7,11,-4
6,1,70,8,21,-13
6,1,71,5,5,0
6,1,72,3,5,-2
6,1,73,11,9,2
6,1,74,5,19,-14
6,1,75,8,9,-1
6,1,76,8,12,-4
6,1,77,3,8,-5
6,1,78,9,8,1
6,1,79,9,14,-5
6,1,80,1,5,-4
6,1,81,3,8,-5
6,1,82,28,23,5
6,1,83,4,15,-11
6,1,84,5,11,-6
6,1,85,3,4,-1
6,1,86,17,12,5
6,1,87,12,16,-4
6,1,88,9,11,-2
6,1,89,3,6,-3
6,1,90,9,8,1
6,1,91,10,8,2
6,1,92,5,7,-2
6,1,93,8,30,-22
6,1,94,3,0,3
6,1,95,8,6,2
6,1,96,5,10,-5
6,1,97,13,9,4
6,1,98,9,14,-5
6,1,99,10,14,-4
6,1,100,21,15,6
6,1,101,23,35,-12
6,1,102,26,13,13
6,1,103,7,13,-6
6,1,104,11,19,-8
6,1,105,21,11,10
6,1,106,12,13,-1
6,1,107,8,13,-5
6,1,108,20,8,12
6,1,109,4,9,-5
6,1,110,0,3,-3
6,1,111,6,11,-5
6,1,112,9,3,6
6,1,113,1,4,-3
6,1,114,4,9,-5
6,1,115,6,16,-10
6,1,116,7,7,0
6,1,117,2,9,-7
6,1,118,14,12,2
6,1,119,11,15,-4
6,1,120,5,11,-6
6,1,121,8,12,-4
6,1,122,10,3,7
6,1,123,12,16,-4
6,1,124,4,7,-3
6,1,125,14,14,0
6,1,126,8,13,-5
6,1,127,12,17,-5
6,1,128,1,2,-1
6,1,129,2,4,-2
6,1,130,10,13,-3
6,1,131,13,14,-1
6,1,132,13,11,2
6,1,133,4,13,-9
6,1,134,6,15,-9
6,1,135,5,10,-5
6,1,136,9,6,3
6,1,137,8,8,0
6,1,138,14,15,-1
6,1,139,8,17,-9
6,1,140,5,8,-3
6,1,141,6,14,-8
6,1,142,8,15,-7
6,1,143,6,20,-14
6,1,144,7,9,-2
6,1,145,8,7,1
6,1,146,5,2,3
6,1,147,5,18,-13
6,1,148,3,7,-4
6,1,149,4,15,-11
6,1,150,11,13,-2
6,1,151,12,5,7
6,1,152,0,8,-8
6,1,153,8,17,-9
6,1,154,14,8,6
6,1,155,12,11,1
6,1,156,6,6,0
6,1,157,5,10,-5
6,1,158,6,16,-10
6,1,159,18,5,13
6,1,160,7,4,3
6,1,161,4,10,-6
6,1,162,5,9,-4
6,1,163,20,14,6
6,1,164,11,2,9
6,1,165,7,16,-9
6,1,166,2,3,-1
6,1,167,5,7,-2
6,1,168,12,15,-3
6,1,169,10,14,-4
6,1,170,21,22,-1
6,1,171,18,7,11
6,1,172,9,7,2
6,1,173,10,4,6
6,1,174,13,11,2
6,1,175,11,14,-3
6,1,176,11,10,1
6,1,177,6,11,-5
6,1,178,8,9,-1
6,1,179,12,10,2
6,1,180,9,15,-6
6,1,181,8,3,5
6,1,182,11,18,-7
6,1,183,12,10,2
6,1,184,8,9,-1
6,1,185,9,22,-13
6,1,186,10,15,-5
6,1,187,7,6,1
6,1,188,5,3,2
6,1,189,7,18,-11
6,1,190,5,5,0
6,1,191,3,2,1
6,1,192,11,11,0
6,1,193,1,9,-8
6,1,194,6,6,0
6,1,195,11,11,0
6,1,196,10,8,2
6,1,197,1,6,-5
6,1,198,11,12,-1
6,1,199,5,11,-6
6,1,200,12,8,4
6,1,201,5,11,-6
6,1,202,19,9,10
6,1,203,8,6,2
6,1,204,10,14,-4
6,1,205,5,6,-1
6,1,206,3,3,0
6,1,207,7,12,-5
6,1,208,1,8,-7
6,1,209,3,9,-6
6,1,210,19,21,-2
6,1,211,8,7,1
6,1,212,10,14,-4
6,1,213,8,7,1
6,1,214,13,4,9
6,1,215,18,13,5
6,1,216,8,17,-9
6,1,217,8,12,-4
6,1,218,3,10,-7
6,1,219,8,7,1
6,1,220,20,25,-5
6,1,221,17,5,12
6,1,222,4,5,-1
6,1,223,10,14,-4
6,1,224,2,12,-10
6,1,225,5,5,0
6,1,226,10,4,6
6,1,227,8,3,5
6,1,228,4,10,-6
6,1,229,7,14,-7
6,1,230,14,14,0
6,1,231,7,19,-12
6,1,232,10,12,-2
6,1,233,6,7,-1
6,1,234,5,8,-3
6,1,235,2,9,-7
6,1,236,5,6,-1
6,1,237,5,11,-6
6,1,238,8,12,-4
6,1,239,1,5,-4
6,1,240,16,19,-3
6,1,241,16,15,1
6,1,242,13,4,9
6,1,243,9,8,1
6,1,244,7,7,0
6,1,245,9,15,-6
6,1,246,5,8,-3
6,1,247,14,15,-1
6,1,248,14,17,-3
6,1,249,7,9,-2
6,1,250,9,6,3
6,1,251,12,13,-1
6,1,252,17,12,5
6,1,253,11,13,-2
6,1,254,10,5,5
6,1,255,12,8,4
6,1,256,8,7,1
6,1,257,15,10,5
6,1,258,2,2,0
6,1,259,14,6,8
6,1,260,10,18,-8
6,1,261,3,13,-10
6,1,262,15,7,8
6,1,263,12,26,-14
6,1,264,8,14,-6
6,1,265,6,8,-2
6,1,266,5,5,0
6,1,267,7,5,2
6,1,268,9,14,-5
6,1,269,6,4,2
6,1,270,10,5,5
6,1,271,0,1,-1
6,1,272,19,12,7
6,1,273,18,16,2
6,1,274,5,6,-1
6,1,275,0,8,-8
6,1,276,10,9,1
6,1,277,5,4,1
6,1,278,19,11,8
6,1,279,12,19,-7
6,1,280,16,15,1
6,1,281,8,6,2
6,1,282,9,23,-14
6,1,283,5,6,-1
6,1,284,1,2,-1
6,1,285,11,13,-2
6,1,286,8,9,-1
6,1,287,8,10,-2
6,1,288,14,28,-14
6,1,289,7,4,3
6,1,290,11,1,10
6,1,291,12,11,1
6,1,292,4,5,-1
6,1,293,4,5,-1
6,1,294,2,4,-2
6,1,295,15,9,6
6,1,296,14,10,4
6,1,297,10,17,-7
6,1,298,2,6,-4
6,1,299,16,10,6
